timestamp,role,org_size,industry,team_focus,storage_environment,orchestration,ai_usage_frequency,ai_helps_with,ai_adoption,modeling_approach,modeling_pain_points,architecture_trend,biggest_bottleneck,team_growth_2026,education_topic,industry_wish,region
10:58.5,Manager / Director / VP,< 50 employees,Tech,"Data quality / reliability, Analytics / BI",Cloud PostgreSQL/MySQL,No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Kimball-style dimensional modeling,None / modeling is going well,Lakehouse,Poor requirements / upstream issues,Stay the same,Architecture patterns,,United States / Canada
14:58.5,Data Architect,< 50 employees,Tech,"Data modeling / transformation, Analytics / BI",Mixed/hybrid,As a consultant - entirely depends on the client ,Multiple times per day,"Writing Code (SQL, Python, etc), Architecture design",Using AI for tactical tasks,Mixed (depends on use case),None / modeling is going well,Centralized warehouse,None? Depends on the client ,Grow,Semantics / ontologies / knowledge graphs,The fundamentals.,United States / Canada
27:56.2,Data Architect,200–999,Public sector / Education,"Data modeling / transformation, Data quality / reliability","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Weekly,Documentation / data discovery,Experimenting,Mixed (depends on use case),"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Poor requirements / upstream issues,Grow,Architecture patterns,Data Ownership is the foundation of everything,Europe (EU / UK)
28:09.8,Platform Engineer,"1,000–10,000",Manufacturing / Industrial,"Ingestion / pipelines, Infrastructure / platform work","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",Dagster,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Ad-hoc / tables added as needed,"Lack of clear ownership, Pressure to “move fast”",Lakehouse,Lack of leadership direction,Not sure,Semantics / ontologies / knowledge graphs,,United States / Canada
28:11.9,Data Architect,"10,000+",Public sector / Education,"Data modeling / transformation, Data quality / reliability, Infrastructure / platform work, ML / AI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,Architecture design,Using AI for tactical tasks,Mixed (depends on use case),"Lack of clear ownership, Tools don’t support good modeling",Lakehouse,Lack of leadership direction,Stay the same,Semantics / ontologies / knowledge graphs,,United States / Canada
28:57.3,Analytics Engineer,200–999,Tech,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Building internal AI platforms,Canonical/semantic models,"Hard to maintain over time, Pressure to “move fast”",Centralized warehouse,Legacy / technical debt,Grow,Data modeling,,United States / Canada
28:59.2,BI Engineer,"10,000+",Finance,"Data modeling / transformation, Data quality / reliability, Analytics / BI","Lakehouse (Databricks, Iceberg/Hudi/Delta + compute engine)",No orchestration / ad-hoc,Weekly,"Writing Code (SQL, Python, etc), Governance / quality checks",AI embedded in most workflows,Canonical/semantic models,"Lack of clear ownership, Hard to maintain over time",Lakehouse,Data quality,Grow,Data modeling,It is very diverse and not generic at all ,Asia–Pacific
29:09.3,Analytics Engineer,200–999,Tech,"Data modeling / transformation, Analytics / BI","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery, Data modeling",AI embedded in most workflows,Mixed (depends on use case),Pressure to “move fast”,Centralized warehouse,Poor requirements / upstream issues,Not sure,Data modeling,,Latin America
30:02.3,Manager / Director / VP,< 50 employees,Tech,"Infrastructure / platform work, ML / AI",On-prem data lake / lakehouse,Kubeflow (open for alternatives),Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Experimenting,Ad-hoc / tables added as needed,Lack of clear ownership,Lakehouse,Poor requirements / upstream issues,Grow,Semantics / ontologies / knowledge graphs,It shouldn't be an afterthought,Europe (EU / UK)
31:48.9,Data Engineer,50–199,Tech,"Data modeling / transformation, Fighting fires","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Dagster,Multiple times per day,"Documentation / data discovery, Architecture design",Experimenting,Mixed (depends on use case),"Hard to maintain over time, Tools don’t support good modeling, Pressure to “move fast”, AI tools produce inconsistent schemas",Event-driven architecture feeding into a centralized warehouse,Poor requirements / upstream issues,Stay the same,Semantics / ontologies / knowledge graphs,Data modeling is not the same thing as a pipeline,United States / Canada
33:37.3,Team of 1,< 50 employees,Finance,"Data quality / reliability, Infrastructure / platform work","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",Git Hub Actions,Multiple times per day,"Writing Code (SQL, Python, etc), Documentation / data discovery",Using AI for tactical tasks,Mixed (depends on use case),None / modeling is going well,Lakehouse,Poor requirements / upstream issues,Stay the same,Semantics / ontologies / knowledge graphs,,United States / Canada
34:04.9,Data Architect,"10,000+",Tech,"Ingestion / pipelines, Data modeling / transformation","Cloud data warehouse (Snowflake, BigQuery, Redshift, etc.)",No orchestration / ad-hoc,Multiple times per day,"Documentation / data discovery, Data modeling",Using AI for tactical tasks,Mixed (depends on use case),"Tools don’t support good modeling, Pressure to “move fast”",Centralized warehouse,Poor requirements / upstream issues,Shrink,Semantics / ontologies / knowledge graphs,,Europe (EU / UK)
